team_a,team_b,date,tournament,neutral,team_a_matches_last5,team_b_matches_last5,team_a_win_rate_last5,team_b_win_rate_last5,team_a_draw_rate_last5,team_b_draw_rate_last5,team_a_loss_rate_last5,team_b_loss_rate_last5,team_a_points_per_match_last5,team_b_points_per_match_last5,team_a_matches_last10,team_b_matches_last10,team_a_win_rate_last10,team_b_win_rate_last10,team_a_draw_rate_last10,team_b_draw_rate_last10,team_a_loss_rate_last10,team_b_loss_rate_last10,team_a_avg_goals_scored_last10,team_b_avg_goals_scored_last10,team_a_avg_goals_conceded_last10,team_b_avg_goals_conceded_last10,team_a_avg_goal_diff_last10,team_b_avg_goal_diff_last10,team_a_points_per_match_last10,team_b_points_per_match_last10,win_rate_diff_last10,points_per_match_diff_last10,avg_goals_scored_diff_last10,avg_goals_conceded_diff_last10,avg_goal_diff_diff_last10,h2h_matches,team_a_h2h_win_rate,team_b_h2h_win_rate,h2h_draw_rate,team_a_h2h_avg_goals,team_b_h2h_avg_goals,team_a_goals,team_b_goals,result
Algeria,Cabo Verde,2007-03-24,African Nations Cup qualifier,False,5,5,0.4,0.2,0.2,0.0,0.4,0.8,1.4,0.6,10,10,0.3,0.3,0.4,0.0,0.3,0.7,0.9,0.8,1.2,1.8,-0.3,-1.0,1.3,0.9,0.0,0.4,0.0999999999999999,-0.6000000000000001,0.7,2,0.5,0.0,0.5,1.0,0.0,2,0,team_a_win
Portugal,Belgium,2007-03-24,European Championship qual,False,5,5,0.6,0.4,0.2,0.0,0.2,0.6,2.0,1.2,10,10,0.4,0.4,0.2,0.3,0.4,0.3,1.4,1.2,1.1,0.9,0.3,0.3,1.4,1.5,0.0,-0.1,0.1999999999999999,0.2,0.0,1,0.0,0.0,1.0,1.0,1.0,4,0,team_a_win
Norway,Bosnia and Herzegovina,2007-03-24,European Championship qual,False,5,5,0.4,0.2,0.2,0.2,0.4,0.6,1.4,0.8,10,10,0.2,0.1,0.4,0.4,0.4,0.5,1.2,1.1,1.5,2.0,-0.3,-0.9,1.0,0.7,0.1,0.3,0.0999999999999998,-0.5,0.6000000000000001,2,0.5,0.5,0.0,1.0,0.5,1,2,team_b_win
Netherlands,Romania,2007-03-24,European Championship qual,False,5,5,0.6,0.2,0.4,0.2,0.0,0.6,2.2,0.8,10,10,0.6,0.3,0.3,0.3,0.1,0.4,1.8,1.1,0.6,1.2,1.2,-0.1,2.1,1.2,0.3,0.9000000000000001,0.7,-0.6,1.3,3,1.0,0.0,0.0,2.0,0.3333333333333333,0,0,draw
Czechia,Germany,2007-03-24,European Championship qual,False,5,5,0.8,0.8,0.0,0.2,0.2,0.0,2.4,2.6,10,10,0.7,0.7,0.0,0.2,0.3,0.1,1.4,3.1,0.9,0.7,0.5,2.4,2.1,2.3,0.0,-0.1999999999999997,-1.7000000000000002,0.2,-1.9,4,0.25,0.75,0.0,1.25,2.0,1,2,team_b_win
Japan,Peru,2007-03-24,Friendly,False,5,5,0.6,0.2,0.0,0.4,0.4,0.4,1.8,1.0,10,10,0.5,0.2,0.1,0.4,0.4,0.4,1.3,0.7,1.0,1.5,0.3,-0.8,1.6,1.0,0.3,0.6000000000000001,0.6000000000000001,-0.5,1.1,3,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.3333333333333333,2,0,team_a_win
Croatia,Macedonia,2007-03-24,European Championship qual,False,5,5,0.8,0.2,0.2,0.6,0.0,0.2,2.6,1.2,10,10,0.5,0.1,0.3,0.5,0.2,0.4,2.0,0.9,0.9,1.2,1.1,-0.3,1.8,0.8,0.4,1.0,1.1,-0.2999999999999999,1.4,4,0.5,0.0,0.5,1.75,1.25,2,1,team_a_win
Israel,England,2007-03-24,European Championship qual,False,5,5,0.0,0.2,0.8,0.4,0.2,0.4,0.8,1.0,10,10,0.0,0.4,0.5,0.4,0.5,0.2,1.2,1.4,2.4,0.6,-1.2,0.8,0.5,1.6,-0.4,-1.1,-0.1999999999999999,1.7999999999999998,-2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,draw
Scotland,Georgia,2007-03-24,European Championship qual,False,5,5,0.6,0.2,0.2,0.0,0.2,0.8,2.0,0.6,10,10,0.5,0.3,0.2,0.1,0.3,0.6,1.9,1.2,0.9,1.8,1.0,-0.6,1.7,1.0,0.2,0.7,0.7,-0.9,1.6,0,0.0,0.0,0.0,0.0,0.0,2,1,team_a_win
Spain,Denmark,2007-03-24,European Championship qual,False,5,5,0.4,0.6,0.0,0.2,0.6,0.2,1.2,2.0,10,10,0.5,0.6,0.1,0.1,0.4,0.3,1.4,1.8,1.1,1.3,0.3,0.5,1.6,1.9,-0.0999999999999999,-0.2999999999999998,-0.4000000000000001,-0.1999999999999999,-0.2,2,0.5,0.0,0.5,1.5,0.5,2,1,team_a_win
Mexico,Paraguay,2007-03-25,Friendly,False,5,5,0.2,0.2,0.2,0.2,0.6,0.6,0.8,0.8,10,10,0.4,0.2,0.1,0.4,0.5,0.4,1.2,1.0,1.2,1.1,0.0,-0.1,1.3,1.0,0.2,0.3,0.1999999999999999,0.0999999999999998,0.1,7,0.1428571428571428,0.4285714285714285,0.4285714285714285,0.8571428571428571,1.1428571428571428,2,1,team_a_win
Egypt,Mauritania,2007-03-25,African Nations Cup qualifier,False,5,5,0.6,0.0,0.2,0.2,0.2,0.8,2.0,0.2,10,10,0.6,0.0,0.2,0.4,0.2,0.6,1.6,0.6,0.8,2.0,0.8,-1.4,2.0,0.4,0.6,1.6,1.0,-1.2,2.2,0,0.0,0.0,0.0,0.0,0.0,3,0,team_a_win
